row,input_address,street_address,format,is_new,province_name,province_full_name,province_id,province_code,district_name,district_full_name,district_id,district_code,ward_name,ward_full_name,ward_id,ward_code
1,"91/34A Trần Tân, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",91/34A Trần Tân,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Tân Phú,Quận Tân Phú,767,767,Phường Tân Sơn Nhì,Phường Tân Sơn Nhì,27010,27010
2,"44, Khu Dân Cư 7, Áp Cây Xăng Phú Túc, Định Quán, Đồng Nai",44 Khu Dân Cư 7 Áp Cây Xăng,old,False,Đồng Nai,Tỉnh Đồng Nai,75,75,Định Quán,Huyện Định Quán,736,736,Xã Phú Túc,Xã Phú Túc,26242,26242
3,"68 Đường Tôn Thất Hiệp, Phường 11, Quận 11, TP. Hồ Chí Minh",68 Đường Tôn Thất Hiệp,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 11,Quận 11,772,772,Phường 11,Phường 11,27226,27226
4,"Thôn Mã Hoa Thủy, Lệ Thủy, Quảng Bình",Thôn Mã,old,False,Quảng Bình,Tỉnh Quảng Bình,44,44,Lệ Thuỷ,Huyện Lệ Thuỷ,457,457,Xã Hoa Thuỷ,Xã Hoa Thuỷ,19258,19258
5,"Khu Phố Phú Nghị, Hòa Lợi, Thị xã Bến Cát, Bình Dương",Khu Phố Phú Nghị,old,False,Bình Dương,Tỉnh Bình Dương,74,74,Bến Cát,Thành phố Bến Cát,721,721,Phường Hoà Lợi,Phường Hoà Lợi,25849,25849
6,"29 Đường 3/2, Phường 11, Quận 10, TP.Hồ Chí Minh",29 Đường 3/2,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 10,Quận 10,771,771,Phường 11,Phường 11,27175,27175
7,"Thôn Giang Ché, Giang Hải, Phú Lộc, Thừa Thiên Huế",Thôn Giang Ché,old,False,Huế,Thành phố Huế,46,46,Phú Lộc,Huyện Phú Lộc,482,482,Xã Giang Hải,Xã Giang Hải,20122,20122
8,"Nguyễn Văn Dung, P.6 Gò Vấp, TP.HCM",Nguyễn Văn Dung,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Gò Vấp,Quận Gò Vấp,764,764,Phường 6,Phường 6,26876,26876
9,"170/41 Vườn Lài, Tân Thành, Tân Phú, Hồ Chí Minh",170/41 Vườn Lài,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Tân Phú,Quận Tân Phú,767,767,Phường Tân Thành,Phường Tân Thành,27022,27022
10,"75/3, Tổ 07, KP7 Tân Hưng Thuận, Quận 12, TP. Hồ Chí Minh",75/3 Tổ 07 KP7,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 12,Quận 12,761,761,Phường Tân Hưng Thuận,Phường Tân Hưng Thuận,26787,26787
11,"499, Tổ 25, KP2 Trung Mỹ Tây, Quận 12, TP.Hồ Chí Minh",499 Tổ 25 KP2,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 12,Quận 12,761,761,Phường Trung Mỹ Tây,Phường Trung Mỹ Tây,26785,26785
12,"51 C/x Đường Sắt, Lý Thái Tổ, P. 01, Quận 3, TP. Hồ Chí Minh",51 C/x Đường Sắt Lý Thái Tổ,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 3,Quận 3,770,770,Phường 1,Phường 1,27160,27160
13,"Phú Thượng, Kỳ Phú, Kỳ Anh, Hà Tĩnh",Phú Thượng,old,False,Hà Tĩnh,Tỉnh Hà Tĩnh,42,42,Kỳ Anh,Huyện Kỳ Anh,447,447,Xã Kỳ Phú,Xã Kỳ Phú,18763,18763
14,"Tổ Dân Phố 5 Thị trấn Phước An, Krông Pắc, Đắk Lắk",Tổ Dân Phố 5,old,False,Đắk Lắk,Tỉnh Đắk Lắk,66,66,Krông Pắc,Huyện Krông Pắc,654,654,Thị trấn Phước An,Thị trấn Phước An,24490,24490
15,"125/24, Đường Số 9, Phường 9, Gò Vấp, TP.Hồ Chí Minh",125/24 Đường Số,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Gò Vấp,Quận Gò Vấp,764,764,Phường 9,Phường 9,26897,26897
16,"402, Lô A1, C/ Cư, Hòa Bình, P14, Quận 10, TP. Hồ Chí Minh",402 Lô A1 C/ Cư Hòa Bình,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Quận 10,Quận 10,771,771,Phường 14,Phường 14,27169,27169
17,"Thôn 4, Cư Yang, Ea Kar, Đắk Lắk",Thôn 4,old,False,Đắk Lắk,Tỉnh Đắk Lắk,66,66,Ea Kar,Huyện Ea Kar,651,651,Xã Cư Yang,Xã Cư Yang,24406,24406
18,"Khu Phố 2, Thị trấn Tân Khai, Hớn Quản, Bình Phước",Khu Phố 2,old,False,Bình Phước,Tỉnh Bình Phước,70,70,Hớn Quản,Huyện Hớn Quản,694,694,Thị trấn Tân Khai,Thị trấn Tân Khai,25357,25357
19,"117/117/7 Hồ Văn Long, Tân Tạo, Bình Tân, TP.HCM",117/117/7 Hồ Văn Long,old,False,Hồ Chí Minh,Thành phố Hồ Chí Minh,79,79,Bình Tân,Quận Bình Tân,777,777,Phường Tân Tạo,Phường Tân Tạo,27454,27454
20,"Tháp Lĩnh, Hoàng Giang, Nông Cống, Thanh Hóa",Tháp Lĩnh,old,False,Thanh Hoá,Tỉnh Thanh Hoá,38,38,Nông Cống,Huyện Nông Cống,404,404,Xã Hoàng Giang,Xã Hoàng Giang,16294,16294
