row,status,input_address,original_note,street_address,ward_full_name,district_full_name,province_full_name,is_new,review_note,validation_note,validation_sources
8,fixed,"Nguyễn Văn Dung, P.6 Gò Vấp, TP.HCM",OCR sai,Nguyễn Văn Dung,Phường 6,Quận Gò Vấp,Thành phố Hồ Chí Minh,FALSE,OCR thiếu dấu phẩy nhưng parser vẫn nhận ra ward số và district cũ.,Local parser regression only.,
36,fixed,"Nhóm 9 - Cao Cường Đông Quang, Ba Vì, Hà Nội",sai street address,Nhóm 9 Cao Cường,Xã Đông Quang,Huyện Ba Vì,Thành phố Hà Nội,FALSE,"Giữ Đông Quang là ward, không nuốt vào street.",Local parser regression only.,
38,reject_ocr,"Thôn Lương Hà, la BLỨ, Chư Pưh, Gia Lai",sai street address,Thôn Lương Hà la BLỨ,Xã Chư Pưh,Huyện Chư Pưh,Tỉnh Gia Lai,FALSE,"Input OCR sai `la BLỨ`; parser giữ nguyên trong street, không tự sửa `la -> ia`.","Rejected as OCR noise, no authoritative admin token to auto-correct safely.",
92,fixed,"Đông Trà Hòa Thuận, Thành phố Tam Kỳ, Quảng Nam",parse sai,Đông Trà,Phường Hoà Thuận,Thành phố Tam Kỳ,Tỉnh Quảng Nam,FALSE,"Tách `Hòa Thuận` thành ward, giữ `Đông Trà` là street.",Local parser regression only.,
95,fixed,"Minh Thanh Hương Vinh, Hương Trà, Thừa Thiên Huế",parse sai,Minh Thanh,Phường Hương Vinh,Thị xã Hương Trà,Thành phố Huế,FALSE,Thiếu dấu phẩy trước ward; contextual old-format rescue ra `Minh Thanh | Phường Hương Vinh | Thị xã Hương Trà`.,Validated against Huế 2021 and 2024 administrative changes.,https://baochinhphu.vn/mo-rong-dien-tich-tphue-len-xap-xi-266-km2-102294836.htm | https://baochinhphu.vn/thanh-pho-hue-truc-thuoc-trung-uong-gom-co-2-quan-3-thi-xa-va-4-huyen-1022405141513434.htm | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-quyet-1264-NQ-UBTVQH14-2021-dieu-chinh-dia-gioi-hanh-chinh-cap-huyen-Thua-Thien-Hue-473372.aspx
97,fixed,"Thời Hòa Thị trấn Nhà Bàng, Tỉnh Biên, An Giang",parse sai,Thời Hòa,Phường Nhà Bàng,Thị xã Tịnh Biên,Tỉnh An Giang,FALSE,OCR typo `Tỉnh Biên` được normalize về `Tịnh Biên` theo context An Giang.,Local parser regression only.,
100,fixed,"Trạch Thượng 1 TT. Phong Điền, Phong Điền, TT - Huế",parse sai,Trạch Thượng 1,Phường Phong Thu,Thị xã Phong Điền,Thành phố Huế,FALSE,"`TT. Phong Điền, Phong Điền` được hiểu là thị trấn cũ trong thị xã Phong Điền; map đúng sang `Phường Phong Thu`.",Validated against 2024 Huế district/ward formation.,https://baochinhphu.vn/thanh-pho-hue-co-9-don-vi-hanh-chinh-cap-huyen-133-don-vi-hanh-chinh-cap-xa-102241206104837388.htm
101,fixed,"15 Tổng Duy Tân, Thuận Thành, TP Huế, Thừa Thiên Huế",parse sai,15 Tổng Duy Tân,Phường Đông Ba,Quận Phú Xuân,Thành phố Huế,FALSE,`Thuận Thành` được giữ như legacy ward name và map đúng về `Phường Đông Ba`.,Validated against Huế 2021 ward merger and current Đông Ba page.,https://baochinhphu.vn/mo-rong-dien-tich-tphue-len-xap-xi-266-km2-102294836.htm | https://hue.gov.vn/Trang-chu/To-chuc-hanh-chinh/orgid/d30e2d5f-c5d6-4854-858c-6f1d46076e1d
102,fixed,"13 Phò Trạch, TT. Phong Điền, Phong Điền, TT - Huế",parse sai,13 Phò Trạch,Phường Phong Thu,Thị xã Phong Điền,Thành phố Huế,FALSE,"Cùng logic với row 100, không trim quá tay mất `TT. Phong Điền`.",Validated against 2024 Huế district/ward formation.,https://baochinhphu.vn/thanh-pho-hue-co-9-don-vi-hanh-chinh-cap-huyen-133-don-vi-hanh-chinh-cap-xa-102241206104837388.htm
111,fixed,"Khóm 2 Thị trấn Tri Tôn, Tri Tôn, An Giang",parse sai,Khóm 2,Thị trấn Tri Tôn,Huyện Tri Tôn,Tỉnh An Giang,FALSE,"Giữ `Khóm 2` trong street, không collapse thành 2 cấp.",Local parser regression only.,
127,fixed,"Tân Phong, Tân Biên, Tây Ninh, Áp Xóm Tháp",parse sai,Áp Xóm Tháp,Xã Tân Phong,Huyện Tân Biên,Tỉnh Tây Ninh,FALSE,"Đưa `Áp Xóm Tháp` về street, giữ `Xã Tân Phong` là ward.",Local parser regression only.,
166,fixed,"P106b Tt Mai Động C27a, Mai Động, Hoàng Mai, Hà Nội",sai tên đường,P106b Tt Mai Động C27a,Phường Mai Động,Quận Hoàng Mai,Thành phố Hà Nội,FALSE,"Khôi phục full street `P106b Tt Mai Động C27a`, không để alias ward nuốt mất.",Local parser regression only.,
202,fixed,"Tổ 22, K. Mỹ Phú, Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",sai tên đường,Tổ 22 K. Mỹ Phú,Phường Mỹ Phú,Thành phố Cao Lãnh,Tỉnh Đồng Tháp,FALSE,Giữ nguyên segment street `K. Mỹ Phú`; không trim ward lặp lần hai khi đã có segment ward riêng phía sau.,Local parser regression only.,
203,fixed,"Số 225A, Hưng Lợi Đông Long Hưng B, Lấp Vò, Đồng Tháp",sai tên đường,Số 225A Hưng Lợi Đông,Xã Long Hưng B,Huyện Lấp Vò,Tỉnh Đồng Tháp,FALSE,"Tách `Long Hưng B` thành ward, giữ `Số 225A Hưng Lợi Đông` là street.",Local parser regression only.,
206,fixed,"Tổ 16, Khóm 2 Thị trấn Sa Rài, Tân Hồng, Đồng Tháp",parse sai 3 cấp thành 2 cấp,Tổ 16 Khóm 2,Thị trấn Sa Rài,Huyện Tân Hồng,Tỉnh Đồng Tháp,FALSE,Giữ đủ 3 cấp cũ: street/locality + thị trấn + huyện + tỉnh.,Local parser regression only.,
